date,weekday,inner_speed1,inner_speed2,inner_speed3,inner_speed4,inner_speed5,inner_speed6,inner_speed7,inner_speed8,outer_speed,inner_speed1_predicting,inner_speed2_predicting,inner_speed3_predicting,inner_speed4_predicting,inner_speed5_predicting,inner_speed6_predicting,inner_speed7_predicting,inner_speed8_predicting,
05.08.2023,6,,,,,,,,,,,,,,,,,,
06.08.2023,7,,,,,,,,,,,,,,,,,,
07.08.2023,1,,,,,,,,,,,,,,,,,,
08.08.2023,2,,,,,,,,,,,,,,,,,,
09.08.2023,3,,,,,,,,,,,,,,,,,,
10.08.2023,4,,,,,,,,,,,,,,,,,,
11.08.2023,5,,,,,,,,,,,,,,,,,,
12.08.2023,6,,,,,,,,,,,,,,,,,,
13.08.2023,7,,,,,,,,,,,,,,,,,,
14.08.2023,1,,,,,,,,,,,,,,,,,,
15.08.2023,2,,,,,,,,,,,,,,,,,,
16.08.2023,3,,,,,,,,,,,,,,,,,,
17.08.2023,4,,,,,,,,,,,,,,,,,,
18.08.2023,5,,,,,,,,,,,,,,,,,,
19.08.2023,6,,,,,,,,,,,,,,,,,,
20.08.2023,7,,,,,,,,,,,,,,,,,,
21.08.2023,1,,,,,,,,,,,,,,,,,,
22.08.2023,2,,,,,,,,,,,,,,,,,,
23.08.2023,3,,,,,,,,,,,,,,,,,,
24.08.2023,4,,,,,,,,,,,,,,,,,,
25.08.2023,5,,,,,,,,,,,,,,,,,,
26.08.2023,6,,,,,,,,,,,,,,,,,,
27.08.2023,7,,,,,,,,,,,,,,,,,,
28.08.2023,1,,,,,,,,,,,,,,,,,,
29.08.2023,2,,,,,,,,,,,,,,,,,,
30.08.2023,3,,,,,,,,,,,,,,,,,,
31.08.2023,4,,,,,,,,,,,,,,,,,,
01.09.2023,5,,,,,,,,,,,,,,,,,,
02.09.2023,6,,,,,,,,,,,,,,,,,,
03.09.2023,7,,,,,,,,,,,,,,,,,,
04.09.2023,1,,,,,,,,,,,,,,,,,,
05.09.2023,2,,,,,,,,,,,,,,,,,,
06.09.2023,3,,,,,,,,,,,,,,,,,,
07.09.2023,4,,,,,,,,,,,,,,,,,,
08.09.2023,5,,,,,,,,,,,,,,,,,,
09.09.2023,6,,,,,,,,,,,,,,,,,,
10.09.2023,7,,,,,,,,,,,,,,,,,,
11.09.2023,1,,,,,,,,,,,,,,,,,,
12.09.2023,2,,,,,,,,,,,,,,,,,,
13.09.2023,3,,,,,,,,,,,,,,,,,,
14.09.2023,4,,,,,,,,,,,,,,,,,,
15.09.2023,5,,,,,,,,,,,,,,,,,,
16.09.2023,6,,,,,,,,,,,,,,,,,,
17.09.2023,7,,,,,,,,,,,,,,,,,,
18.09.2023,1,,,,,,,,,,,,,,,,,,
19.09.2023,2,,,,,,,,,,,,,,,,,,
20.09.2023,3,,,,,,,,,,,,,,,,,,
