date,education-kol-inner,education-landl-inner,education-kol-outer,education-landl-outer,consumption-kol-inner,consumption-landl-inner,consumption-kol-outer,consumption-landl-outer,transportation-kol-inner,transportation-landl-inner,transportation-kol-outer,transportation-landl-outer,cultural-kol-inner,cultural-landl-inner,cultural-kol-outer,cultural-landl-outer,bicycle-kol-inner,bicycle-landl-inner,bicycle-kol-outer,bicycle-landl-outer,removedparking-kol,removedparking-landl
30.08.2023,3,0,61,36,20,6,436,114,15,4,193,154,0,0,6,0,11,6,256,176,129,41
31.08.2023,3,0,61,36,20,6,436,114,15,4,193,154,0,0,6,0,11,6,256,176,129,41
01.09.2023,3,0,61,36,20,6,436,114,15,4,193,154,0,0,6,0,11,6,256,176,129,41
02.09.2023,3,0,61,36,20,6,436,114,15,4,193,154,0,0,6,0,11,6,256,176,129,41
03.09.2023,3,0,61,36,20,6,436,114,15,4,193,154,0,0,6,0,11,6,256,176,129,41
04.09.2023,3,0,61,36,20,6,436,114,15,4,193,154,0,0,6,0,11,6,256,176,129,41
05.09.2023,3,0,61,36,20,6,436,114,15,4,193,154,0,0,6,0,11,6,256,176,129,41
06.09.2023,3,0,61,36,20,6,436,114,15,4,193,154,0,0,6,0,11,6,256,176,129,41
07.09.2023,3,0,61,36,20,6,436,114,15,4,193,154,0,0,6,0,11,6,256,176,129,41
08.09.2023,3,0,61,36,20,6,436,114,15,4,193,154,0,0,6,0,11,6,256,176,129,41
09.09.2023,3,0,61,36,20,6,436,114,15,4,193,154,0,0,6,0,11,6,256,176,129,41
10.09.2023,3,0,61,36,20,6,436,114,15,4,193,154,0,0,6,0,11,6,256,176,129,41
11.09.2023,3,0,61,36,20,6,436,114,15,4,193,154,0,0,6,0,11,6,256,176,129,41
12.09.2023,3,0,61,36,20,6,436,114,15,4,193,154,0,0,6,0,11,6,256,176,129,41
13.09.2023,3,0,61,36,20,6,436,114,15,4,193,154,0,0,6,0,11,6,256,176,129,41
14.09.2023,3,0,61,36,20,6,436,114,15,4,193,154,0,0,6,0,11,6,256,176,129,41
15.09.2023,3,0,61,36,20,6,436,114,15,4,193,154,0,0,6,0,11,6,256,176,129,41
16.09.2023,3,0,61,36,20,6,436,114,15,4,193,154,0,0,6,0,11,6,256,176,129,41
17.09.2023,3,0,61,36,20,6,436,114,15,4,193,154,0,0,6,0,11,6,256,176,129,41
18.09.2023,3,0,61,36,20,6,436,114,15,4,193,154,0,0,6,0,11,6,256,176,129,41
19.09.2023,3,0,61,36,20,6,436,114,15,4,193,154,0,0,6,0,11,6,256,176,129,41
20.09.2023,3,0,61,36,20,6,436,114,15,4,193,154,0,0,6,0,11,6,256,176,129,41
