date,weekday,inner_speed1_au,inner_speed2_au,inner_speed3_au,inner_speed4_au,inner_speed5_au,inner_speed6_au,inner_speed7_au,inner_speed8_au,outer_speed_au,inner_speed1_wp,inner_speed2_wp,inner_speed3_wp,inner_speed4_wp,inner_speed5_wp,inner_speed6_wp,inner_speed7_wp,inner_speed8_wp,outer_speed_wp
19.06.2023,1,0.925575,0.875809167,0.881511667,0.926805,0.931294167,0.881511667,0.8525525,0.867665833,0.888786207,0.851656667,0.915213333,0.938005,0.915213333,0.907238333,0.959655,0.915213333,0.938005,0.905462855
20.06.2023,2,0.890666667,0.8477125,0.866570833,0.8800125,0.869483333,0.866570833,0.855779167,0.869554167,0.856102381,0.850383333,0.902445833,0.9250375,0.902445833,0.841129167,0.942925,0.902445833,0.9266375,0.876198847
21.06.2023,3,0.894025,0.8963375,0.8773125,0.887104167,0.894175,0.8773125,0.8593,0.85165,0.867014541,0.870020833,0.916666667,0.930966667,0.916666667,0.890220833,0.926945833,0.916666667,0.930966667,0.891810816
22.06.2023,4,0.663692857,0.643857143,0.684321429,0.665521429,0.655614286,0.684321429,0.643878571,0.649635714,0.661304009,0.647064286,0.687514286,0.7209,0.687514286,0.673414286,0.71325,0.687514286,0.7209,0.673630213
23.06.2023,5,0.52361875,0.5471625,0.56725,0.52881875,0.59275625,0.56725,0.5508125,0.49068125,0.54413801,0.5573625,0.62708125,0.64063125,0.62708125,0.66649375,0.66766875,0.62708125,0.64063125,0.595938963
24.06.2023,6,0.6468,0.596264167,0.6449525,0.67123,0.617025833,0.6412525,0.589115833,0.550800833,0.619856899,0.580766667,0.669765833,0.705243333,0.669765833,0.677423333,0.75,0.666435833,0.705243333,0.664169669
25.06.2023,7,0.9079415,0.909861974,0.925033505,0.886755114,0.92022123,0.936969415,0.929804732,0.85023685,0.890469148,0.855369187,0.899865482,0.936891142,0.947458333,0.902131889,0.914796976,0.944689908,0.912970761,0.908295831
26.06.2023,1,0.6501575,0.6474375,0.5991825,0.646245,0.6641875,0.5991825,0.587665,0.58555,0.615087449,0.608825,0.641645,0.643625,0.641645,0.6858,0.7166625,0.641645,0.643625,0.647583191
27.06.2023,2,0.932058333,0.666666667,0.646591667,0.674604167,0.667383333,0.646591667,0.625704167,0.650191667,0.719198384,0.654304167,0.6736375,0.696070833,0.6736375,0.654279167,0.692908333,0.6736375,0.686454167,0.681397606
28.06.2023,3,0.605161111,0.617691667,0.612968056,0.605216667,0.594433333,0.612968056,0.578052778,0.629415278,0.592526162,0.618559722,0.628519444,0.640672222,0.628519444,0.629502778,0.69935,0.628519444,0.650961111,0.624873109
29.06.2023,4,0.900125,0.869670833,0.868758333,0.899066667,0.8945625,0.868758333,0.846895833,0.857091667,0.861089371,0.88,0.899470833,0.932629167,0.899470833,0.875895833,0.928216667,0.899470833,0.932629167,0.883091667
30.06.2023,5,0.83890303,0.846037121,0.873747727,0.8378125,0.88875947,0.873747727,0.856967803,0.840053788,0.838868592,0.878260227,0.929591667,0.919594318,0.929591667,0.842521212,0.894519697,0.929591667,0.925765152,0.871354852
01.07.2023,6,0.934985714,0.949694643,0.941757143,0.926782143,0.993621429,0.941757143,0.960205357,0.942195238,0.943766412,0.917102381,0.993279167,0.984128571,0.993279167,0.970907143,0.942635714,0.993279167,0.984128571,0.963976393
02.07.2023,7,0.75,0.75,0.72595625,0.75,0.75,0.72595625,0.72619375,0.73706875,0.725598937,0.73529375,0.75,0.75,0.75,0.73660625,0.7349125,0.75,0.75,0.733422429
03.07.2023,1,0.6830725,0.613396667,0.60048,0.6830725,0.68869,0.599355,0.609404167,0.590608333,0.62135932,0.580901667,0.6452625,0.66406,0.6377325,0.661883333,0.706475,0.67425,0.657448333,0.641363741
04.07.2023,2,0.941059821,0.851380655,0.870675,0.933484821,0.856919643,0.937139286,0.937139286,0.777588393,0.860299526,0.831964286,0.802304464,0.848620536,0.9062625,0.863416964,0.98214375,0.98214375,0.863416964,0.872098119
05.07.2023,3,0.907591667,0.862370833,0.819139583,0.91300625,0.826138889,0.8524375,0.8524375,0.72014375,0.834300198,0.844770833,0.814125,0.8319125,0.888477083,0.878583333,0.939483333,0.932502083,0.877058333,0.86669904
06.07.2023,4,0.693658333,0.696241667,0.598216667,0.693658333,0.660258333,0.6609,0.6609,0.513883333,0.638877806,0.637466667,0.63225,0.59,0.692916667,0.617858333,0.711741667,0.711741667,0.617858333,0.626896277
07.07.2023,5,0.6143625,0.658685417,0.5829625,0.614322917,0.612220833,0.61295,0.61295,0.437841667,0.590042219,0.595635417,0.591372917,0.59041875,0.69525,0.6815875,0.72410625,0.73660625,0.6815875,0.619579566
08.07.2023,6,0.929375,0.942270833,0.960016667,0.929375,0.977541667,0.981666667,0.981666667,0.8191875,0.909107738,0.894783333,0.862766667,0.913470833,0.963941667,0.967483333,0.977083333,0.977083333,0.967483333,0.934503723
09.07.2023,7,0.9795625,0.947904167,0.954004167,0.9785375,0.992283333,0.983333333,0.983333333,0.85075,0.944189626,0.8990875,0.8978,0.9388875,0.961954167,0.934645833,1,1,0.934645833,0.960769504
10.07.2023,1,0.950045833,0.877945833,0.892779167,0.942470833,0.8965,0.897308333,0.897308333,0.79155,0.878065816,0.8746125,0.852129167,0.909166667,0.955033333,0.9297125,0.939441667,0.9213875,0.9297125,0.89586711
11.07.2023,2,0.915170833,0.846233333,0.8460375,0.925466667,0.863725,0.934904167,0.934904167,0.772254167,0.845913776,0.840579167,0.818766667,0.885554167,0.942320833,0.828895833,0.935908333,0.935908333,0.831704167,0.860933067
12.07.2023,3,0.894466667,0.826508333,0.809233333,0.900683333,0.831308333,0.866875,0.866875,0.732541667,0.836957993,0.836716667,0.8005,0.8124625,0.9002625,0.7701125,0.8917125,0.88725,0.768754167,0.849760638
13.07.2023,4,0.797577062,0.777929201,0.827134959,0.78995708,0.775791129,0.826692819,0.811101234,0.726265538,0.777188676,0.752269387,0.812631034,0.830848674,0.853579708,0.775527089,0.809514457,0.847761337,0.798983523,0.799222179
14.07.2023,5,0.804605331,0.802703165,0.797129017,0.765259214,0.805539903,0.791452261,0.78277137,0.71561165,0.782756051,0.771907408,0.811747842,0.798527854,0.847447532,0.839951734,0.869677211,0.846556517,0.843124278,0.810277332
15.07.2023,6,0.892959062,0.908970273,0.877374097,0.838799324,0.904492682,0.884387236,0.875140442,0.820412416,0.872530328,0.85296715,0.888391845,0.881575493,0.912379405,0.897899881,0.918777444,0.914732202,0.903543691,0.89321938
16.07.2023,7,0.730783333,0.678120833,0.71095,0.730783333,0.735933333,0.691666667,0.691666667,0.576254167,0.673372449,0.676775,0.71135,0.73,0.680225,0.741870833,0.696975,0.696975,0.741870833,0.693065869
17.07.2023,1,0.895283333,0.869604167,0.806895833,0.904358333,0.845670833,0.8306625,0.8306625,0.665391667,0.820525255,0.8375,0.807216667,0.9379125,0.920291667,0.8281375,0.971533333,0.971533333,0.829154167,0.836320745
18.07.2023,2,0.670805682,0.598220455,0.569863258,0.670690909,0.600374621,0.641879924,0.641879924,0.452606439,0.584192045,0.627548864,0.557545076,0.555610606,0.684027273,0.592452273,0.695011742,0.694252652,0.601320455,0.599169359
